Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
602163.7160353,161856.40625,147929.84375,195062.78125,197510.65625,159933.171875,170090.078125,165501.171875,159074.328125
602163.716042,161323.1875,147351.109375,194758.625,196869.609375,159222.296875,169329.5,164907.15625,158557.734375
602163.7179428,159888.828125,146297.890625,194263.578125,194908.5625,157160.9375,168043.1875,164102.84375,157849.90625
602163.731035,159602.546875,146205.53125,194240.953125,194444.890625,156692.4375,167971.046875,164130.484375,157866.265625
602163.7310406,160290.0,146792.5,194525.1875,195334.5,157623.96875,168710.4375,164639.03125,158302.125
602163.7434844,161877.78125,147923.140625,195056.171875,197507.4375,159924.328125,170096.515625,165500.8125,159069.6875
602163.7436031,161350.8125,147344.40625,194751.734375,196871.578125,159218.546875,169335.484375,164909.296875,158554.875
602163.7436048,159912.078125,146285.5625,194252.765625,194905.171875,157154.046875,168045.34375,164106.78125,157848.109375
602163.7436062,159613.640625,146183.359375,194218.703125,194427.375,156675.546875,167960.3125,164123.765625,157852.59375
602163.7492,160293.390625,146776.671875,194508.734375,195316.890625,157607.796875,168707.3125,164637.421875,158293.625
602163.7535665,161888.15625,147925.46875,195050.625,197496.8125,159919.3125,170107.328125,165506.265625,159070.578125
602163.7535723,161355.734375,147352.265625,194751.921875,196870.859375,159225.34375,169359.625,164925.75,158562.921875
602163.7633411,159913.15625,146301.203125,194260.359375,194910.4375,157163.265625,168068.140625,164125.015625,157858.84375
602163.7698707,159599.421875,146191.234375,194227.546875,194436.671875,156685.46875,167989.375,164145.140625,157868.6875
602163.7698772,160272.03125,146779.984375,194519.375,195327.796875,157618.4375,168728.953125,164653.953125,158310.265625
602163.7717033,161861.78125,147927.15625,195060.203125,197508.15625,159926.203125,170127.265625,165522.984375,159084.796875
602163.7759002,161341.421875,147364.25,194767.390625,196897.953125,159245.09375,169390.296875,164951.140625,158585.546875
602163.7860814,159890.34375,146303.171875,194270.109375,194932.796875,157177.390625,168092.71875,164143.265625,157875.5625
602163.7860886,159565.453125,146176.75,194220.03125,194432.375,156670.171875,167994.640625,164143.0,157863.5
602163.7885773,160231.265625,146751.8125,194493.359375,195303.65625,157581.5,168723.84375,164641.703125,158288.359375
602163.7885865,161822.078125,147888.796875,195019.875,197474.28125,159879.4375,170108.5,165501.078125,159055.296875
602163.8004584,161307.625,147315.53125,194717.5,196854.59375,159190.5625,169357.828125,164916.453125,158548.53125
602163.8148906,159866.296875,146253.640625,194223.078125,194888.359375,157125.171875,168066.796875,164114.109375,157844.984375
602163.8148979,159569.46875,146149.75,194196.171875,194413.0625,156647.828125,167987.21875,164135.390625,157855.265625
602163.8173289,160265.328125,146751.375,194491.5625,195306.421875,157581.6875,168739.3125,164655.75,158299.625
602163.8173363,161865.796875,147898.28125,195031.234375,197488.578125,159890.171875,170128.078125,165517.171875,159071.03125
602163.8442428,161355.46875,147336.359375,194740.75,196885.4375,159220.0625,169385.375,164940.859375,158570.96875
