Batch,Pipeline,Accuracy,AUC,Status,Best Params
-1,aug_ts_lr,0.9098608590441621,0.9741209444538814,Baseline (Gold Only),{}
-1,aug_ts_svm,0.902843315184513,0.9745710888398165,Baseline (Gold Only),{}
-1,aug_ts_mlp,0.8960677555958864,0.9687786648547647,Baseline (Gold Only),{}
0,aug_ts_lr,0.875819209039548,0.9464444444444444,Refined,{}
0,aug_ts_svm,0.8723728813559323,0.935455938697318,Refined,{}
0,aug_ts_mlp,0.8858757062146893,0.934344827586207,Refined,{}
1,aug_ts_lr,0.8671073506081438,0.9510995490808186,Refined,{}
1,aug_ts_svm,0.8704389212057112,0.9200346860908775,Refined,{}
1,aug_ts_mlp,0.8703860391327339,0.9428997571973639,Refined,{}
2,aug_ts_lr,0.8395337301587302,0.9444997479838708,Refined,{}
2,aug_ts_svm,0.8364087301587301,0.9175340221774194,Refined,{}
2,aug_ts_mlp,0.8551587301587302,0.9405178931451612,Refined,{}
3,aug_ts_lr,0.8476456876456877,0.9373048668503214,Refined,{}
3,aug_ts_svm,0.8322144522144521,0.9042929292929294,Refined,{}
3,aug_ts_mlp,0.8107692307692307,0.9299586776859504,Refined,{}
4,aug_ts_lr,0.8399034240561896,0.9348799412813253,Refined,{}
4,aug_ts_svm,0.8221685689201053,0.9043095312991506,Refined,{}
4,aug_ts_mlp,0.8222563652326602,0.9207664884135471,Refined,{}
5,aug_ts_lr,0.8133333333333332,0.9193805522208883,Refined,{}
5,aug_ts_svm,0.7931677018633541,0.8728739495798319,Refined,{}
5,aug_ts_mlp,0.7845548654244306,0.9074957983193279,Refined,{}
6,aug_ts_lr,0.8295774647887324,0.9230908289241622,Refined,{}
6,aug_ts_svm,0.7875978090766822,0.8826807760141093,Refined,{}
6,aug_ts_mlp,0.7987871674491392,0.9113624338624339,Refined,{}
7,aug_ts_lr,0.8150314698259903,0.9017774531288044,Refined,{}
7,aug_ts_svm,0.7932617549055906,0.8718691664637609,Refined,{}
7,aug_ts_mlp,0.8015179563124768,0.9042163785407029,Refined,{}
8,aug_ts_lr,0.8016140350877194,0.901078086396646,Refined,{}
8,aug_ts_svm,0.7723859649122807,0.872763345062514,Refined,{}
8,aug_ts_mlp,0.7619649122807017,0.8923485812682488,Refined,{}
9,aug_ts_lr,0.7680652680652681,0.8699851205924081,Refined,{}
9,aug_ts_svm,0.7835497835497836,0.8534585971832935,Refined,{}
9,aug_ts_mlp,0.7575424575424575,0.8786047960137029,Refined,{}
