Batch,Pipeline,Accuracy,AUC
0,cov_ts_lr,0.6,0.8
0,csp_svm,0.6,0.8
0,csp_lda,0.6,0.7
0,csp_rf,0.6,0.8
0,cov_ts_mlp,0.6,0.8
0,csp_mlp,0.55,0.7
1,cov_ts_lr,0.5,0.5
1,csp_svm,0.65,0.7
1,csp_lda,0.7,0.6
1,csp_rf,0.6,0.7
1,cov_ts_mlp,0.4,0.2
1,csp_mlp,0.75,0.7
2,cov_ts_lr,0.75,0.8
2,csp_svm,0.65,0.9
2,csp_lda,0.7,0.7
2,csp_rf,0.65,0.9
2,cov_ts_mlp,0.7,0.7
2,csp_mlp,0.65,0.8
3,cov_ts_lr,0.6,0.6
3,csp_svm,0.5,0.5
3,csp_lda,0.6,0.5
3,csp_rf,0.5,0.45
3,cov_ts_mlp,0.55,0.6
3,csp_mlp,0.35,0.5
4,cov_ts_lr,0.5,0.5
4,csp_svm,0.7,0.6
4,csp_lda,0.5,0.6
4,csp_rf,0.5,0.6
4,cov_ts_mlp,0.25,0.2
4,csp_mlp,0.45,0.6
5,cov_ts_lr,0.7,0.7
5,csp_svm,0.2,0.3
5,csp_lda,0.25,0.3
5,csp_rf,0.25,0.3
5,cov_ts_mlp,0.45,0.6
5,csp_mlp,0.2,0.3
6,cov_ts_lr,0.5,0.5
6,csp_svm,0.55,0.9
6,csp_lda,0.6,0.9
6,csp_rf,0.65,0.9
6,cov_ts_mlp,0.4,0.2
6,csp_mlp,0.6,0.8
7,cov_ts_lr,0.65,0.8
7,csp_svm,0.5,0.3
7,csp_lda,0.4,0.3
7,csp_rf,0.45,0.35
7,cov_ts_mlp,0.6,0.8
7,csp_mlp,0.5,1.0
8,cov_ts_lr,0.55,0.8
8,csp_svm,0.65,0.8
8,csp_lda,0.7,0.8
8,csp_rf,0.8,0.95
8,cov_ts_mlp,0.45,0.7
8,csp_mlp,0.6,0.8
9,cov_ts_lr,0.5,0.5
9,csp_svm,0.4,0.6
9,csp_lda,0.4,0.5
9,csp_rf,0.4,0.6
9,cov_ts_mlp,0.25,0.4
9,csp_mlp,0.5,0.6
Final,cov_ts_lr,0.5,0.5
Final,csp_svm,0.525,0.48500000000000004
Final,csp_lda,0.45499999999999996,0.46299999999999997
Final,csp_rf,0.46499999999999997,0.493
Final,cov_ts_mlp,0.465,0.45100000000000007
Final,csp_mlp,0.505,0.532
