Batch,Pipeline,Accuracy,AUC
0,cov_ts_lr,1.0,nan
0,csp_svm,1.0,nan
0,csp_lda,1.0,nan
0,csp_rf,0.75,nan
1,cov_ts_lr,0.5,1.0
1,csp_svm,0.5,1.0
1,csp_lda,0.5,1.0
1,csp_rf,0.7,1.0
2,cov_ts_lr,0.5,0.5
2,csp_svm,0.7,0.6
2,csp_lda,0.45,0.5
2,csp_rf,0.65,0.65
3,cov_ts_lr,0.5,0.5
3,csp_svm,0.35,0.3
3,csp_lda,0.3,0.1
3,csp_rf,0.25,0.2
4,cov_ts_lr,1.0,nan
4,csp_svm,1.0,nan
4,csp_lda,0.7,nan
4,csp_rf,0.75,nan
5,cov_ts_lr,0.5,0.6
5,csp_svm,0.45,0.7
5,csp_lda,0.45,0.5
5,csp_rf,0.5,0.45
6,cov_ts_lr,0.55,0.8
6,csp_svm,0.55,0.9
6,csp_lda,0.55,0.9
6,csp_rf,0.5,0.8
7,cov_ts_lr,0.5,0.8
7,csp_svm,0.5,0.8
7,csp_lda,0.65,0.7
7,csp_rf,0.65,0.7
8,cov_ts_lr,0.5,0.5
8,csp_svm,0.4,0.6
8,csp_lda,0.25,0.0
8,csp_rf,0.25,0.3
9,cov_ts_lr,0.5,0.6
9,csp_svm,0.5,0.2
9,csp_lda,0.3,0.3
9,csp_rf,0.35,0.5
Final,cov_ts_lr,0.4,0.38699999999999996
Final,csp_svm,0.43499999999999994,0.41500000000000004
Final,csp_lda,0.465,0.44400000000000006
Final,csp_rf,0.485,0.449
